
===== 开始运行 soc-step=22.5 =====
正式评价区间：2025-02-01 至 2025-12-31
正式评价天数：334
未纳入正式评价的预热日期：31天
日末库存价值系数：0.481548 元/kWh
预测安全修正：负荷×1.050，非夏季光伏×0.900，7至9月光伏×1.050
预测时间衰减系数：0.900
分解预测设置：同类型日最少3天，日总量趋势截断0.200，光伏最近7天
滚动偏差校准：回看30天，强度0.500
动态分位数：常规[0.5, 0.6, 0.7, 0.75, 0.8, 0.85, 0.9]，高风险[0.85, 0.9, 0.95]
滚动最优分位数：回看30天，最少历史7天，临时购电惩罚×5.0
2025-05-24完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：38.2kWh | 总费用：17843.49元
2025-05-25完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：4.2kWh | 总费用：42625.71元
2025-05-26完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：20.5kWh | 总费用：43978.27元
2025-05-27完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：26.9kWh | 总费用：42826.98元
2025-05-28完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：12.3kWh | 总费用：42404.64元
2025-05-29完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：13.2kWh | 总费用：43061.54元
2025-05-30完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：15.0kWh | 总费用：17878.02元
2025-05-31完成 | 滚动常规 | q=0.70 | SOC：10785.0->10740.0 | 临时购电：38.5kWh | 总费用：18061.91元
2025-06-01完成 | 滚动常规 | q=0.70 | SOC：10740.0->9570.0 | 临时购电：2291.9kWh | 总费用：56293.42元
2025-06-02完成 | 滚动高风险 | q=0.85 | SOC：9570.0->9637.5 | 临时购电：1391.2kWh | 总费用：56177.48元
2025-06-03完成 | 滚动高风险 | q=0.85 | SOC：9637.5->9885.0 | 临时购电：258.9kWh | 总费用：51107.98元
2025-06-04完成 | 滚动高风险 | q=0.85 | SOC：9885.0->9795.0 | 临时购电：265.5kWh | 总费用：51842.36元
2025-06-05完成 | 滚动高风险 | q=0.85 | SOC：9795.0->9907.5 | 临时购电：293.1kWh | 总费用：53262.98元
2025-06-06完成 | 滚动常规 | q=0.70 | SOC：9907.5->9525.0 | 临时购电：4124.4kWh | 总费用：39128.04元
2025-06-07完成 | 滚动高风险 | q=0.85 | SOC：9525.0->10020.0 | 临时购电：348.9kWh | 总费用：24178.59元
2025-06-08完成 | 滚动高风险 | q=0.85 | SOC：10020.0->10785.0 | 临时购电：15.6kWh | 总费用：61477.06元
2025-06-09完成 | 滚动高风险 | q=0.85 | SOC：10785.0->10785.0 | 临时购电：26.2kWh | 总费用：59037.80元
2025-06-10完成 | 滚动常规 | q=0.75 | SOC：10785.0->10492.5 | 临时购电：38.5kWh | 总费用：55350.32元
2025-06-11完成 | 滚动常规 | q=0.75 | SOC：10492.5->10515.0 | 临时购电：67.8kWh | 总费用：55473.00元
2025-06-12完成 | 滚动常规 | q=0.75 | SOC：10515.0->10762.5 | 临时购电：34.8kWh | 总费用：56636.00元
2025-06-13完成 | 滚动常规 | q=0.75 | SOC：10762.5->10425.0 | 临时购电：146.9kWh | 总费用：22184.16元
2025-06-14完成 | 滚动常规 | q=0.75 | SOC：10425.0->10740.0 | 临时购电：153.3kWh | 总费用：23278.63元
2025-06-15完成 | 滚动常规 | q=0.75 | SOC：10740.0->10785.0 | 临时购电：10.0kWh | 总费用：59118.48元
2025-06-16完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：18.6kWh | 总费用：59282.05元
2025-06-17完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：52.1kWh | 总费用：57887.07元
2025-06-18完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：14.1kWh | 总费用：58117.10元
2025-06-19完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：20.8kWh | 总费用：59244.60元
2025-06-20完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：76.0kWh | 总费用：24395.40元
2025-06-21完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：108.7kWh | 总费用：24858.07元
2025-06-22完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：14.0kWh | 总费用：57200.89元
2025-06-23完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：9.9kWh | 总费用：56077.23元
2025-06-24完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：78.2kWh | 总费用：55565.34元
2025-06-25完成 | 滚动常规 | q=0.75 | SOC：10785.0->10785.0 | 临时购电：11.1kWh | 总费用：56040.91元
