
===== 开始运行 soc-step=22.5 =====
正式评价区间：2025-02-01 至 2025-12-31
正式评价天数：334
未纳入正式评价的预热日期：31天
日末库存价值系数：0.481548 元/kWh
预测安全修正：负荷×1.050，非夏季光伏×0.900，7至9月光伏×1.050
预测时间衰减系数：0.900
分解预测设置：同类型日最少3天，日总量趋势截断0.200，光伏最近7天
滚动偏差校准：回看30天，强度0.500
动态分位数：常规[0.5, 0.6, 0.7, 0.75, 0.8, 0.85, 0.9]，高风险[0.85, 0.9, 0.95]
滚动最优分位数：回看30天，最少历史7天，临时购电惩罚×5.0
2025-05-07完成 | 滚动常规 | q=0.70 | SOC：9817.5->9997.5 | 临时购电：418.5kWh | 总费用：46866.58元
2025-05-08完成 | 滚动常规 | q=0.70 | SOC：9997.5->10155.0 | 临时购电：83.0kWh | 总费用：45750.82元
2025-05-09完成 | 滚动常规 | q=0.70 | SOC：10155.0->10200.0 | 临时购电：42.1kWh | 总费用：17056.87元
2025-05-10完成 | 滚动常规 | q=0.70 | SOC：10200.0->10042.5 | 临时购电：104.9kWh | 总费用：17267.26元
2025-05-11完成 | 滚动常规 | q=0.70 | SOC：10042.5->10200.0 | 临时购电：180.8kWh | 总费用：46381.06元
2025-05-12完成 | 滚动常规 | q=0.70 | SOC：10200.0->10515.0 | 临时购电：21.9kWh | 总费用：44694.24元
2025-05-13完成 | 滚动常规 | q=0.70 | SOC：10515.0->10515.0 | 临时购电：35.7kWh | 总费用：45084.05元
2025-05-14完成 | 滚动常规 | q=0.70 | SOC：10515.0->10425.0 | 临时购电：28.9kWh | 总费用：44749.11元
2025-05-15完成 | 滚动常规 | q=0.70 | SOC：10425.0->10807.5 | 临时购电：20.5kWh | 总费用：44439.50元
2025-05-16完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：16.4kWh | 总费用：16924.64元
2025-05-17完成 | 滚动常规 | q=0.70 | SOC：10807.5->10650.0 | 临时购电：38.7kWh | 总费用：17129.35元
2025-05-18完成 | 滚动常规 | q=0.70 | SOC：10650.0->10807.5 | 临时购电：18.2kWh | 总费用：43457.25元
2025-05-19完成 | 滚动常规 | q=0.70 | SOC：10807.5->10650.0 | 临时购电：74.2kWh | 总费用：43946.82元
2025-05-20完成 | 滚动常规 | q=0.70 | SOC：10650.0->10582.5 | 临时购电：26.1kWh | 总费用：41949.43元
2025-05-21完成 | 滚动常规 | q=0.70 | SOC：10582.5->10807.5 | 临时购电：24.0kWh | 总费用：42745.57元
2025-05-22完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：12.9kWh | 总费用：42523.98元
2025-05-23完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：31.0kWh | 总费用：17563.18元
2025-05-24完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：43.6kWh | 总费用：17846.44元
2025-05-25完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：4.2kWh | 总费用：42616.65元
2025-05-26完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：20.5kWh | 总费用：43969.21元
2025-05-27完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：31.8kWh | 总费用：42828.16元
