
===== 开始运行 soc-step=25 =====
正式评价区间：2025-02-01 至 2025-12-31
正式评价天数：334
未纳入正式评价的预热日期：31天
日末库存价值系数：0.481548 元/kWh
预测安全修正：负荷×1.050，非夏季光伏×0.900，7至9月光伏×1.050
预测时间衰减系数：0.900
分解预测设置：同类型日最少3天，日总量趋势截断0.200，光伏最近7天
滚动偏差校准：回看30天，强度0.500
动态分位数：常规[0.5, 0.6, 0.7, 0.75, 0.8, 0.85, 0.9]，高风险[0.85, 0.9, 0.95]
滚动最优分位数：回看30天，最少历史7天，临时购电惩罚×5.0
2025-04-30完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：18.0kWh | 总费用：42520.20元
2025-05-01完成 | 滚动常规 | q=0.70 | SOC：10800.0->9750.0 | 临时购电：592.8kWh | 总费用：45606.46元
2025-05-02完成 | 滚动常规 | q=0.70 | SOC：9750.0->9900.0 | 临时购电：669.0kWh | 总费用：19696.52元
2025-05-03完成 | 滚动常规 | q=0.70 | SOC：9900.0->10075.0 | 临时购电：847.3kWh | 总费用：20393.99元
2025-05-04完成 | 滚动常规 | q=0.70 | SOC：10075.0->9975.0 | 临时购电：602.2kWh | 总费用：45724.47元
2025-05-05完成 | 滚动常规 | q=0.70 | SOC：9975.0->10100.0 | 临时购电：326.0kWh | 总费用：43603.24元
2025-05-06完成 | 滚动常规 | q=0.70 | SOC：10100.0->9850.0 | 临时购电：392.0kWh | 总费用：44111.17元
2025-05-07完成 | 滚动常规 | q=0.70 | SOC：9850.0->10050.0 | 临时购电：423.5kWh | 总费用：46856.88元
2025-05-08完成 | 滚动常规 | q=0.70 | SOC：10050.0->10150.0 | 临时购电：81.3kWh | 总费用：45741.22元
2025-05-09完成 | 滚动常规 | q=0.70 | SOC：10150.0->10275.0 | 临时购电：52.0kWh | 总费用：17115.99元
2025-05-10完成 | 滚动常规 | q=0.70 | SOC：10275.0->10100.0 | 临时购电：110.4kWh | 总费用：17231.21元
2025-05-11完成 | 滚动常规 | q=0.70 | SOC：10100.0->10275.0 | 临时购电：181.5kWh | 总费用：46383.52元
2025-05-12完成 | 滚动常规 | q=0.70 | SOC：10275.0->10575.0 | 临时购电：25.7kWh | 总费用：44699.84元
2025-05-13完成 | 滚动常规 | q=0.70 | SOC：10575.0->10575.0 | 临时购电：33.7kWh | 总费用：45056.83元
2025-05-14完成 | 滚动常规 | q=0.70 | SOC：10575.0->10525.0 | 临时购电：25.4kWh | 总费用：44698.69元
2025-05-15完成 | 滚动常规 | q=0.70 | SOC：10525.0->10800.0 | 临时购电：23.9kWh | 总费用：44406.35元
2025-05-16完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：17.7kWh | 总费用：16949.10元
2025-05-17完成 | 滚动常规 | q=0.70 | SOC：10800.0->10750.0 | 临时购电：56.3kWh | 总费用：17166.68元
2025-05-18完成 | 滚动常规 | q=0.70 | SOC：10750.0->10800.0 | 临时购电：13.0kWh | 总费用：43372.43元
2025-05-19完成 | 滚动常规 | q=0.70 | SOC：10800.0->10775.0 | 临时购电：76.8kWh | 总费用：43953.86元
2025-05-20完成 | 滚动常规 | q=0.70 | SOC：10775.0->10675.0 | 临时购电：16.3kWh | 总费用：41877.54元
2025-05-21完成 | 滚动常规 | q=0.70 | SOC：10675.0->10800.0 | 临时购电：4.9kWh | 总费用：42644.42元
2025-05-22完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：7.7kWh | 总费用：42505.30元
2025-05-23完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：60.8kWh | 总费用：17657.46元
2025-05-24完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：42.0kWh | 总费用：17827.86元
2025-05-25完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：21.6kWh | 总费用：42695.74元
2025-05-26完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：36.9kWh | 总费用：44045.33元
2025-05-27完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：17.6kWh | 总费用：42778.92元
2025-05-28完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：17.2kWh | 总费用：42412.33元
2025-05-29完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：8.0kWh | 总费用：43008.52元
2025-05-30完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：35.2kWh | 总费用：17952.18元
2025-05-31完成 | 滚动常规 | q=0.70 | SOC：10800.0->10750.0 | 临时购电：25.0kWh | 总费用：17981.74元
2025-06-01完成 | 滚动常规 | q=0.70 | SOC：10750.0->9600.0 | 临时购电：2262.9kWh | 总费用：55972.13元
2025-06-02完成 | 滚动高风险 | q=0.85 | SOC：9600.0->9675.0 | 临时购电：1358.2kWh | 总费用：55969.52元
